province_index,province_id,red,green,blue,local_name,common_name,old_imperial_name,religious_name,enemy_name,region_id,controller,terrain,biome,terrain_feature,primary_resource,road_level,port_level,fort_level,mana_site_level,strategic_value,center_x,center_y,pixel_area,is_seed_frontier
0,PROV_ROV_HALEM,198,126,166,Rov Halem,Halem Bridge,Measure Fort Seven,Saint Halem's Crossing,Tax-Leech Ford,REG_ROV_BASIN,FAC_ROV_HALEN,river_city,farmland,river_city,GRAIN,5,2,3,1,95,1713.47,742.19,7817,yes
1,PROV_SEVRIN_CANAL,140,205,19,Sevrin Tor,Sevrin Canal,Canal Office Twelve,Measure Shrine of Sevrin,Ink Gate,REG_ROV_BASIN,FAC_ROV_HALEN,canal_farmland,farmland,canal_farmland,GRAIN,4,1,2,0,80,1606.57,819.1,9209,yes
2,PROV_RED_BOG,83,27,128,Red Bog Cairn,Red Bog,Chain Tax Post Nine,Hearth of Red Graves,Bog King Mire,REG_CAIRN_MARCH,FAC_KAERN_RED_BOG,bog_forest,marsh,bog_forest,IRON,2,0,3,0,75,1450.62,615.26,8616,yes
3,PROV_OPEN_GATE,25,105,237,Oru-Gate,Open Gate Freehold,Service Colony Nineteen,Burden Hearth,Grain-Eater Gate,REG_CAIRN_MARCH,FAC_GHARU_OPEN_GATE,frontier_farms,farmland,frontier_farms,GRAIN,3,0,2,1,85,1919.2,684.81,5023,yes
4,PROV_WEST_GEAR,223,184,90,Kavor Den,West Gear Pass,Ferrum Gate Thirty,Inner Stone West Door,Ratback Cut,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mountain_pass,mountain,mountain_pass,IRON,4,0,5,2,100,2097.43,738.92,6998,yes
5,PROV_THIRD_CHARTER,166,6,199,Leth Namar,Third Charter District,Pale Witness Ward Three,House of the Long Account,Treaty Ghost Ward,REG_ROV_BASIN,FAC_NALARI_THIRD_CHARTER,charter_city,farmland,charter_city,SILVER_COIN_METALS,4,1,2,1,90,1702.09,853.57,10604,yes
6,PROV_BLUE_CHAIN,108,85,52,Mava Quay,Blue Chain House,River Toll Ledger Four,Bell of River Return,Coin Gull Nest,REG_MAREN_COAST,FAC_MAREN_BLUE_CHAIN,river_port,coast,river_port,SILVER_COIN_METALS,3,4,2,0,88,1507.79,861.08,1213,yes
7,PROV_WHITE_MARE,50,163,161,Boru Aru,White Mare Camp,Eastern Pasture Toll Two,Ninth Banner Field,Saddle Ghost Camp,REG_TALUUN_STEPPE,FAC_TALUUN_WHITE_MARE,steppe_market,steppe,steppe_market,HORSES,1,0,1,0,78,2316.52,716.39,12490,yes
8,PROV_NINTH_BANNER,248,242,14,Garom Hallow,Ninth Banner Field,Battle Record Plain,Hallow of the Ninth Banner,Priest's Killing Ground,REG_ROV_BASIN,FAC_NINE_BANNERS_HALLOW,sacred_battlefield,farmland,sacred_battlefield,INFLUENCE,3,0,2,2,92,1871.61,852.86,7133,yes
9,PROV_ROV_BASIN_001,191,64,123,Rov Field,Rov Field,Old Road Ledger 001,Rov Basin Shrine 001,Rov Field Insult-Name,REG_ROV_BASIN,FAC_ROV_HALEN,river_city,farmland,river_city,GRAIN,3,1,2,0,80,1199.64,558.27,4083,no
10,PROV_ROV_BASIN_002,133,142,232,Canal Lock,Canal Lock,Old Road Ledger 002,Rov Basin Shrine 002,Canal Lock Insult-Name,REG_ROV_BASIN,FAC_ROV_HALEN,river_city,farmland,river_city,GRAIN,3,0,2,0,79,1253.57,572.52,2937,no
11,PROV_ROV_BASIN_003,75,221,85,Torrel Granary,Torrel Granary,Old Road Ledger 003,Rov Basin Shrine 003,Torrel Granary Insult-Name,REG_ROV_BASIN,FAC_ROV_HALEN,canal_farmland,farmland,canal_farmland,GRAIN,3,0,2,0,75,1305.79,555.79,4188,no
12,PROV_ROV_BASIN_004,18,43,194,Halem Crossing,Halem Crossing,Old Road Ledger 004,Rov Basin Shrine 004,Halem Crossing Insult-Name,REG_ROV_BASIN,FAC_ROV_HALEN,river_city,farmland,river_city,GRAIN,3,0,2,0,73,1370.43,573.16,4240,no
13,PROV_ROV_BASIN_005,216,122,47,Bridge Bridge,Bridge Bridge,Old Road Ledger 005,Rov Basin Shrine 005,Bridge Bridge Insult-Name,REG_ROV_BASIN,FAC_ROV_HALEN,canal_farmland,farmland,canal_farmland,GRAIN,3,0,2,0,80,1537.41,572.43,2935,no
14,PROV_ROV_BASIN_006,158,200,156,Meron Canal,Meron Canal,Old Road Ledger 006,Rov Basin Shrine 006,Meron Canal Insult-Name,REG_ROV_BASIN,FAC_ROV_HALEN,canal_farmland,farmland,canal_farmland,GRAIN,3,0,2,0,82,1596.7,570.14,3505,no
15,PROV_ROV_BASIN_007,101,23,9,Sevrin Ford,Sevrin Ford,Old Road Ledger 007,Rov Basin Shrine 007,Sevrin Ford Insult-Name,REG_ROV_BASIN,FAC_ROV_HALEN,river_city,farmland,river_city,GRAIN,3,1,2,0,82,1680.38,581.07,1658,no
16,PROV_ROV_BASIN_008,43,101,118,Ledger Gate,Ledger Gate,Old Road Ledger 008,Rov Basin Shrine 008,Ledger Gate Insult-Name,REG_ROV_BASIN,FAC_ROV_HALEN,river_city,farmland,river_city,GRAIN,3,1,2,0,79,1744.53,563.12,1182,no
17,PROV_ROV_BASIN_009,241,179,227,Measure Measure,Measure Measure,Old Road Ledger 009,Rov Basin Shrine 009,Measure Measure Insult-Name,REG_ROV_BASIN,FAC_ROV_HALEN,canal_farmland,farmland,canal_farmland,GRAIN,3,0,2,0,82,1179.18,607.97,2224,no
18,PROV_ROV_BASIN_010,184,2,80,Maro Court,Maro Court,Old Road Ledger 010,Rov Basin Shrine 010,Maro Court Insult-Name,REG_ROV_BASIN,FAC_ROV_HALEN,canal_farmland,farmland,canal_farmland,GRAIN,3,0,2,0,77,1220.99,625.78,1878,no
19,PROV_ROV_BASIN_011,126,80,189,Rov Field,Rov Field,Old Road Ledger 011,Rov Basin Shrine 011,Rov Field Insult-Name,REG_ROV_BASIN,FAC_ROV_HALEN,canal_farmland,farmland,canal_farmland,GRAIN,3,0,2,0,75,1267.07,618.19,1872,no
20,PROV_ROV_BASIN_012,68,159,42,Canal Lock,Canal Lock,Old Road Ledger 012,Rov Basin Shrine 012,Canal Lock Insult-Name,REG_ROV_BASIN,FAC_ROV_HALEN,canal_farmland,farmland,canal_farmland,GRAIN,3,0,2,0,73,1312.12,625.16,1815,no
